Időbélyeg;Pontszám;"1.	Egy numerikus változó…";"2.	Egy (nem túlterhelt) rendszer kihasználtsága pontosan akkor maximális…";"3.	A Little-törvény…";"4.	Ha a folyamatmodellt jólstrukturáltnak építjük, ezzel teljesen kizárható…";"5.	A holtpont (deadlock)…";"6.	Végtelen ciklus (livelock) …";"7.	Egy (funkcionális) tesztesetnek mindig része…";"8.	Egy tesztorákulum…";"9.	Teszteléskor a 100%-os fedettség …";"10.	A modellellenőrzés (egybeírva, tehát nem a „modellek ellenőrzése”)"
5.17.2017 16:35:13;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 16:41:22;0;;;;;;;;;;
5.17.2017 16:42:06;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., d) …a funkciók népszerűségi sorrendjének reciprokával becsli a végrehajtási időt.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;a) …a tesztfedettség, b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;b) …a tesztelés egyik fajtája., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 16:42:21;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 16:44:34;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 16:47:37;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), b) …kialakulása megelőzhető jólstrukturált folyamatmodellek használatával., c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 16:58:44;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:05:07;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;d) …amikor a rendszer egyensúlyi állapotban van.;a) …tanult alakja egyensúlyi állapotban érvényes csak.;a) …a join csomópontoknál a holtpont kialakulása., c) …a nem teljesen specifikált viselkedés.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést., b) …minden join esetén szükségszerűen előfordul.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;b) …célja detektálni azokat az eseteket, amikor a rendszer érvénytelen bemenetet kap., c) …végrehajtás nélkül meg tudja mondani, hogy a teszt sikeresen lefuthat-e majd az elkészült rendszeren.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:12:57;0;;;;;;;;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., b) …csak öntesztelő rendszerrel érhető el.;
5.17.2017 17:17:15;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., b) …lehet ordinális vagy nominális változó., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is., d) …a funkciók népszerűségi sorrendjének reciprokával becsli a végrehajtási időt.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;a) …a tesztfedettség, b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., b) …a tesztelés egyik fajtája., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:21:40;0;;;;;;;;;;
5.17.2017 17:22:25;0;;;;;;;;;;
5.17.2017 17:23:15;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;b) …a tesztelés egyik fajtája., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:24:22;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., c) …a nem teljesen specifikált viselkedés.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;;d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:46:13;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést., a) …kizárólag csak a folyamatot termináló vezérlési csomópontban jelentkezhet.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:46:41;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:47:13;0;;;;;;;b) …a tesztbemenet;;;
5.17.2017 17:50:27;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 17:51:24;0;;;;;;;;;;
5.17.2017 18:01:18;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., c) …a nem teljesen specifikált viselkedés.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;a) …a tesztfedettség, b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 18:02:22;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 18:03:18;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 18:10:01;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;a) …a tesztfedettség, b) …a tesztbemenet, d) …konkrét, elvárt (referencia) kimeneti szekvencia;d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést., d) …azt jelenti, hogy a kiválasztott teszteset a modell minden olyan részét érintik, ame-lyet a teljes tesztkészlet bármelyik tesztje érint.;b) …a tesztelés egyik fajtája., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 18:10:57;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., a) …másik numerikus változóhoz való viszonyának ábrázolására használható pont-pont diagram, más néven scatterplot.;b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
5.17.2017 18:18:34;0;a) …olyan változó, amelyen értelmezhetők az alapvető aritmetikai műveletek., d) …értékének eloszlását szokás párhuzamos koordináta diagramon, más néven osz-lopdiagramon ábrázolni.;a) …amikor az érkezési ráta értéke megegyezik az áteresztőképesség értékével., b) …amikor az átbocsátási ráta értéke megegyezik az áteresztőképesség értékével., c) …amikor minden komponens kihasználtsága 100%.;a) …tanult alakja egyensúlyi állapotban érvényes csak., c) …érvényes több lépést tartalmazó folyamatmodellel leírt rendszerekre is.;a) …a join csomópontoknál a holtpont kialakulása., b) …a nemdeterminisztikus viselkedés., d) … a végtelen ciklus.;a) …a rendszernek olyan állapota, amelyből a modell szerint sehogyan nem léphet át más állapotba, nem mutathat további viselkedést.;a) …bekövetkezése esetén a rendszer csak akkor képes kilépni a ciklusból ha a rendszer viselkedése időlegesen eltér a modellben specifikálttól (pl. újraindítjuk), b) …kialakulása megelőzhető jólstrukturált folyamatmodellek használatával., c) …bekövetkezhet például úgy, ha egy ciklus kilépési döntés (decision) csomó-pontjának kimeneti őrfeltételei közül minden körülmények között a ciklusban maradáshoz tartozó lesz csak igaz.;b) …a tesztbemenet, c) …állapotgéppel megadott tesztorákulum, d) …konkrét, elvárt (referencia) kimeneti szekvencia;a) …mindig pontosan megmondja, hogy mi az elvárt kimenet., d) …feltétlenül állapotmentes, a rendszer által kiadott minden kimeneti jelet önmagá-ban, a korábbi be- és kimenetektől függetlenül értékel ki.;a) … csak egy adott metrikára érvényes, például a teljes állapotfedés nem garantál 100%-os átmenetfedést.;a) …azt vizsgálja, hogy a modell megfelel-e a követelményeknek., b) …a tesztelés egyik fajtája., c) …dinamikus elemzésnek számít., d) …kimerítő elemzést végez, tehát az összes lehetséges viselkedést vizsgálja.
